[2020-02-13T01:51:33,540] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:51:37,599] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:51:41,671] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:51:45,727] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:51:49,792] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:51:53,856] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:51:57,929] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:52:01,997] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:52:06,059] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:52:10,119] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:52:14,178] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:52:18,247] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:52:22,315] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:52:26,375] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:52:30,446] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:52:34,514] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:52:38,580] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:52:42,634] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:52:46,708] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:52:50,777] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:52:54,855] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:52:58,913] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:53:02,976] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:53:07,036] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:53:11,109] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:53:15,185] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:53:19,246] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:53:23,317] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:53:27,382] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:53:31,442] <db-server> INFO  db     - DbServer stopped
